years,factor_returns,factor_sd,factor_sharpe,index_returns,index_sd,index_sharpe
2001,-0.1947925407455873,0.07719303643514328,-2.5234470587155853,0.2684874673548586,0.08084976998171464,3.320819186196584
2002,0.08561250009863032,0.023183739192473993,3.692782229297258,0.07139728782124372,0.03041603813744754,2.3473565984697062
2003,0.02445341391449969,0.031172322760141372,0.7844591531615718,-0.11663687847000796,0.07224617073972125,-1.614436824481834
2004,0.2525943172802969,0.07589765829412269,3.3280910499429353,0.022246629552765126,0.0161179610193485,1.3802384511328438
2005,0.07787771312527095,0.07770702256227179,1.0021965912136497,-0.1491152441054835,0.0707676354491532,-2.1071107316087074
2006,0.09888685003340712,0.05086669841959435,1.9440390885545453,0.010485257069155124,0.037195147560716846,0.2818985205540356
2007,0.2519070226221095,0.11562021504900888,2.178745494594796,0.19998519662673586,0.05674673276676654,3.524171117457819
2008,-0.07375972539716044,0.10712134190436683,-0.6885623731544537,0.5654080989923523,0.2291646024833535,2.4672575644985293
2009,-0.08360496583791581,0.09075737143210656,-0.9211920146944615,-0.453620171044476,0.23177402782238166,-1.9571656725580335
2010,-0.2960898300251696,0.11249012308074692,-2.6321406885885645,0.05325386496952087,0.08680396650937988,0.6134957549867995
2011,0.0688464364595173,0.0826314755789055,0.8331744771249455,-0.13728338993640457,0.07362790663790626,-1.8645564732887054
2012,0.013301126388726799,0.033626932047165936,0.39554980424828295,-0.07692330082651626,0.03274838288399208,-2.348919062630038
2013,0.0986416029297392,0.03468064618594323,2.8442838810114397,-0.031796793968787034,0.025058678054845077,-1.2688935106311063
2014,0.2346583082519831,0.09209860421070502,2.5479029814081344,0.051142138168394864,0.019044000453069726,2.6854724297252996
2015,-0.1429930578649616,0.10872780345144169,-1.3151471226844285,0.011881334528202434,0.028634154215354788,0.4149357595423993
2016,-0.003194700175943807,0.05990930774994559,-0.0533256065865109,-0.3331946485603877,0.13274765733227925,-2.5099851496917323
