,returns,returns_cumprod,PI,index_returns,index_returns_cumprod,returns_std,returns_annualized,index_returns_std,index_returns_annualized,sharpe,index_sharpe
2000-01-03,0.979118700032785,0.979118700032785,1451.9,1.0156982356973963,1.0156982356973963,,,,,,
2000-01-31,0.967204255954752,0.9470077737565938,1631.524,1.038763816024041,1.0550705752419132,,,,,,
2000-02-28,1.0582063126854013,1.0021296043513759,1814.783,1.0169950954240394,1.0730016003472456,,,,,,
2000-03-27,1.078670415949457,1.0809675571609634,1889.5339999999999,1.0444977324939912,1.1207477385251219,,,,,,
2000-04-24,0.9843121212340794,1.064009469174329,1954.889,1.0233392172135953,1.1469051134362054,,,,,,
2000-05-22,1.075314121743463,1.1441444078719218,1941.13,1.0705512776816313,1.227820734568726,,,,,,
2000-06-19,1.048154359874037,1.1992399494364534,2034.2820000000002,1.0009806676117423,1.2290248185961432,,,,,,
2000-07-17,0.9954124978795733,1.1937384336255132,2105.201,1.0173164064180011,1.2503071118527642,,,,,,
2000-08-14,0.9919493436747229,1.1841280557541196,2200.368,1.0172571935794068,1.2718839037157164,,,,,,
2000-09-11,0.9917810605726883,1.1743957789896962,2089.886,0.98033178301119,1.246868215112861,,,,,,
2000-10-09,1.019755826195733,1.197596937884419,2032.076,1.002818842024434,1.250382939636552,,,,,,
2000-11-06,1.0188847620582753,1.2202132710980853,2109.29,1.0086080922378935,1.2611463513136318,,,,,,
2000-12-04,0.9983517211630282,1.2182020193867422,2216.103,1.0202047312097244,1.2866274743580486,0.09714634071922419,,0.09283099254599621,,,
2001-01-01,1.0408965520929558,1.268022281732336,2192.3779999999997,1.0013780276528172,1.2884004825965885,0.09438232869636011,0.2950649208210173,0.08084976998171464,0.2684874673548586,3.126272946393159,3.320819186196584
2001-01-29,1.0427221027974822,1.322194860002003,2185.196,1.0,1.2884004825965885,0.08551685623687745,0.3961816329734187,0.06902827840035611,0.22115099485280967,4.632789959864932,3.2037738732256833
2001-02-26,0.9950454463750761,1.3156439746655244,2067.197,0.9933867029576269,1.2798799074956404,0.0765852009197767,0.31284812758033365,0.05265392841694092,0.1928033537708096,4.084968425009987,3.6617088139007095
2001-03-26,0.967474931546612,1.2728525643292408,2192.069,1.0248777502397306,1.3117204401711664,0.07024166332787336,0.17751227212798248,0.04138463904121264,0.17039757929590843,2.527164986105076,4.117411272482504
2001-04-23,0.9779986309427855,1.2448480653060112,2247.221,0.9908779408697614,1.2997548487535824,0.054281286888490266,0.1699595740177134,0.026615430675808724,0.13327147427168481,3.1310896214907427,5.007301061365797
2001-05-21,1.0078070890032205,1.2545667049473421,2305.68,1.0147194347061086,1.3188865053837588,0.048513522245684525,0.09651080433177384,0.0269607502271708,0.07416862107889054,1.9893588398512718,2.7509850599092034
2001-06-18,1.0107311140108717,1.2680296032923757,2261.038,0.9789217148549848,1.2910866395493674,0.047939441195367374,0.05736104262391184,0.02325989855268005,0.05049680040156918,1.1965313152097177,2.1709811109967565
2001-07-16,1.0040609195662606,1.2731789695189835,2235.154,0.9884625402931043,1.2761907794674552,0.04643737407883357,0.06654769056249675,0.02151026086065621,0.020701847865469886,1.43306317126208,0.9624173318760179
2001-08-13,0.9921538252787959,1.2631893848727749,2044.251,1.0370296907149552,1.3234477293244127,0.042495688588894145,0.06676754995751245,0.024017126896951176,0.040541298980242106,1.571160561802534,1.688016187539425
2001-09-10,1.0140436481868405,1.2809291721872795,1938.065,1.0208551930183851,1.3510484871692168,0.035747384037605794,0.09071336520745284,0.026941562065084468,0.08355355505387223,2.5376224764313813,3.1012884424454126
2001-10-08,1.0499220260105104,1.3448757516388345,1803.6589999999999,0.9779692998389624,1.3212839430453682,0.03711985919320706,0.12297861583930474,0.024343384955189087,0.05670343153388271,3.313014071502993,2.3293158136496412
2001-11-05,1.0215145950014084,1.3738102087625588,1752.1989999999998,0.9875850088996553,1.3048802146514316,0.04296252636440467,0.12587712435404808,0.021394298393786666,0.03467786533438071,2.9299283586437284,1.6208928517352952
2001-12-03,1.0086390423592615,1.3856786133496444,1837.5529999999999,1.0324218879487954,1.3471868947574603,0.04635547716714389,0.13747850627206473,0.02392802644337155,0.047068340764001904,2.9657446039517326,1.967079937636921
2001-12-31,0.9855223067522441,1.3656171834455924,1712.5410000000002,1.0246453465761212,1.3803887826815664,0.04900637437713829,0.07696623562475957,0.03041603813744754,0.07139728782124372,1.5705351926761733,2.3473565984697062
2002-01-28,1.0447698346115804,1.4267556388911837,1418.281,0.9971308288607259,1.3764282110253188,0.05951232070227091,0.07908121718838197,0.03364382343250576,0.06832326564433047,1.3288209274178808,2.0307818396858655
2002-02-25,1.002543970340449,1.4303852629195914,1595.979,1.0158257034017242,1.3982111556467713,0.06784967671457975,0.08721302302413361,0.03720360902256206,0.09245496195238459,1.285385977460273,2.4851073425783894
2002-03-25,1.0010143809505592,1.4318362184822577,1748.4470000000001,1.0321995815583411,1.443232969788802,0.072444549740214,0.12490343234433997,0.047918072011986994,0.10025957177313981,1.7241246276254516,2.092312306473
2002-04-22,0.9815545358263165,1.4054253348116608,1700.835,0.993485351532838,1.4338308143344098,0.06958602708259151,0.12899346834440883,0.052525681523970455,0.10315481085483269,1.8537265849551485,1.9638928589200177
2002-05-20,1.020146898007955,1.4337402956899075,1608.274,0.9481517727653251,1.3594892284567204,0.06757857374642576,0.1428171097128596,0.05164135879479457,0.030785608092295465,2.1133489772771834,0.5961424875481519
2002-06-17,1.0454164111611655,1.4988556344572912,1561.5629999999999,0.9862910132712845,1.3408520086659756,0.07153298268158116,0.18203520687970315,0.04829613680105076,0.03854533661193955,2.5447730551095127,0.7981039305632606
2002-07-15,1.0033981301503598,1.5039489409797773,1761.5870000000002,0.9740527162370413,1.3060605411129864,0.07197969564255652,0.1812549350763942,0.04464225735320301,0.023405404682515934,2.518139781758551,0.5242881088502267
2002-08-12,0.9970987056494425,1.4995855424137856,1705.691,0.9881676481578574,1.2906067732633983,0.06523859676382715,0.18714229265378124,0.04773503161532929,-0.024814698256181853,2.8685824333601553,-0.5198425017532204
2002-09-09,0.9983530429321398,1.4971157894058462,1692.3139999999999,0.9716360187309525,1.2540000269208496,0.05529967987012809,0.16877327951662804,0.055811671646190136,-0.07183195952626979,3.0519757060618424,-1.2870418929867915
