years,factor_returns,factor_sd,factor_sharpe,index_returns,index_sd,index_sharpe
2001,0.2950649208210173,0.09438232869636011,3.126272946393159,0.2684874673548586,0.08084976998171464,3.320819186196584
2002,0.07696623562475957,0.04900637437713829,1.5705351926761733,0.07139728782124372,0.03041603813744754,2.3473565984697062
2003,0.12468547804085928,0.04247613225532804,2.935424470650084,-0.11663687847000796,0.07224617073972125,-1.614436824481834
2004,0.2283586485757109,0.10799509424755414,2.114527980801153,0.022246629552765126,0.0161179610193485,1.3802384511328438
2005,0.1894808862828265,0.0938413313342921,2.0191623838736525,-0.1491152441054835,0.0707676354491532,-2.1071107316087074
2006,0.11402707401360945,0.09416143847014632,1.210974214776482,0.010485257069155124,0.037195147560716846,0.2818985205540356
2007,0.103356355462613,0.11613055690565277,0.8900013761802775,0.19998519662673586,0.05674673276676654,3.524171117457819
2008,0.7201982676996879,0.5340244334884648,1.3486241874647191,0.5654080989923523,0.2291646024833535,2.4672575644985293
2009,0.265432444911467,0.4558859398211649,0.5822343304020101,-0.453620171044476,0.23177402782238166,-1.9571656725580335
2010,0.22388199234701292,0.44893544210952796,0.4986952941273722,0.05325386496952087,0.08680396650937988,0.6134957549867995
2011,-0.13780351509571548,0.5632928043734655,-0.24463922497463889,-0.13728338993640457,0.07362790663790626,-1.8645564732887054
2012,0.18312982141225995,0.3356871806783878,0.5455371308555013,-0.07692330082651626,0.03274838288399208,-2.348919062630038
2013,0.022450352313008518,0.2876347310550661,0.07805160465378752,-0.031796793968787034,0.025058678054845077,-1.2688935106311063
2014,-0.08500615659993707,0.3708161733407805,-0.22924069312860396,0.051142138168394864,0.019044000453069726,2.6854724297252996
2015,0.46342648753947635,1.0267328946231096,0.45136031967651113,0.011881334528202434,0.028634154215354788,0.4149357595423993
2016,0.14877760859942255,0.7825806972820551,0.1901115234711707,-0.3331946485603877,0.13274765733227925,-2.5099851496917323
