,returns,returns_cumprod,PI,index_returns,index_returns_cumprod,returns_std,returns_annualized,index_returns_std,index_returns_annualized,sharpe,index_sharpe
2000-01-03,1.047275574423522,1.047275574423522,1451.9,1.0156982356973963,1.0156982356973963,,,,,,
2000-01-31,0.9946121500317718,1.0416330107531382,1631.524,1.038763816024041,1.0550705752419132,,,,,,
2000-02-28,1.0210202726484012,1.0635284206387443,1814.783,1.0169950954240394,1.0730016003472456,,,,,,
2000-03-27,1.0048060734639779,1.0686398163593624,1889.5339999999999,1.0444977324939912,1.1207477385251219,,,,,,
2000-04-24,1.006648789148953,1.0757449771745118,1954.889,1.0233392172135953,1.1469051134362054,,,,,,
2000-05-22,0.9991828155255448,1.0748658950806915,1941.13,1.0705512776816313,1.227820734568726,,,,,,
2000-06-19,1.0090180817822447,1.084559123627475,2034.2820000000002,1.0009806676117423,1.2290248185961432,,,,,,
2000-07-17,1.006394257980291,1.0914940744588273,2105.201,1.0173164064180011,1.2503071118527642,,,,,,
2000-08-14,0.9947406475798839,1.0857535224567798,2200.368,1.0172571935794068,1.2718839037157164,,,,,,
2000-09-11,0.9921492119506437,1.0772295016781295,2089.886,0.98033178301119,1.246868215112861,,,,,,
2000-10-09,0.9991949091973235,1.0763622341139565,2032.076,1.002818842024434,1.250382939636552,,,,,,
2000-11-06,0.999857871969419,1.07620925286943,2109.29,1.0086080922378935,1.2611463513136318,,,,,,
2000-12-04,0.9875077151995908,1.0627649403777495,2216.103,1.0202047312097244,1.2866274743580486,0.014455215380181814,,0.09283099254599621,,,
2001-01-01,1.0148887563162567,1.078588188596495,2192.3779999999997,1.0013780276528172,1.2884004825965885,0.012622754128357595,0.029899116276257194,0.08084976998171464,0.2684874673548586,2.3686681980985007,3.320819186196584
2001-01-29,1.0251289691117342,1.1056919978720177,2185.196,1.0,1.2884004825965885,0.0115423508811024,0.0614986146344983,0.06902827840035611,0.22115099485280967,5.328083963829787,3.2037738732256833
2001-02-26,1.0004342565013715,1.106172151810608,2067.197,0.9933867029576269,1.2798799074956404,0.012891574735377404,0.04009646601287093,0.05265392841694092,0.1928033537708096,3.1102845723600496,3.6617088139007095
2001-03-26,0.9883824251873862,1.0933211140813182,2192.069,1.0248777502397306,1.3117204401711664,0.01259772942954799,0.0230959930035546,0.04138463904121264,0.17039757929590843,1.8333456939774337,4.117411272482504
2001-04-23,0.9978783657412559,1.091001486549875,2247.221,0.9908779408697614,1.2997548487535824,0.012500053467384236,0.014182273400369486,0.026615430675808724,0.13327147427168481,1.1345770190003253,5.007301061365797
2001-05-21,1.0086120060515467,1.1003971979542888,2305.68,1.0147194347061086,1.3188865053837588,0.01279036904462516,0.0237530123436288,0.0269607502271708,0.07416862107889054,1.8571014065939264,2.7509850599092034
2001-06-18,1.0064088217893792,1.1074494474935102,2261.038,0.9789217148549848,1.2910866395493674,0.013964729451051806,0.021105648707720946,0.02325989855268005,0.05049680040156918,1.5113539278866084,2.1709811109967565
2001-07-16,1.0174355802854445,1.1267584712473544,2235.154,0.9884625402931043,1.2761907794674552,0.017532711817886078,0.03230837217876013,0.02151026086065621,0.020701847865469886,1.8427481449732488,0.9624173318760179
2001-08-13,0.9910087243946749,1.1166274752917347,2044.251,1.0370296907149552,1.3234477293244127,0.018757995439288338,0.028435507872076788,0.024017126896951176,0.040541298980242106,1.5159139985991812,1.688016187539425
