Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Full Name
JIANGSU YANGHE BREW.JST. 'A',CN:JYB,11/6/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jiangsu Yanghe Brewery Joint Stock 'A'
BOE TECH.GP.'A',CN:BEL,1/12/2001,15Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,BOE Technology Group 'A'
SUNING COMMERCE 'A',CN:SIG,7/21/2004,11Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Suning Commerce 'A'
EAST MONEY INFO.'A',CN:EMI,3/22/2010,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,East Money Information 'A'
HENAN SHUANGHUI INV.& DEV.'A',CN:HES,12/10/1998,17Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Henan Shuanghui Investment and Development 'A'
CHONGQING CHANGAN AUTMB. 'A',CN:CCA,6/10/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Chongqing Changan Automobile 'A'
YUNNAN BAIYAO GROUP 'A',CN:HPR,12/15/1993,22Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Yunnan Baiyao Group 'A'
AVIC AIRCRAFT 'A',CN:XAI,6/26/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Avic Aircraft 'A'
BANK OF NINGBO 'A',CN:BON,7/19/2007,8Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Bank of Ningbo 'A'
BEIJING ORIGINWATER TECH.'A',CN:BEO,4/21/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Beijing Originwater Technology 'A'
JIANGSU KANGDE XIN CPST. MRA.'A',CN:BKX,7/16/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Jiangsu Kangde XIN Composite Material 'A'
OCEANWIDE HOLDINGS 'A',CN:NYU,9/12/1994,21Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Oceanwide Holdings 'A'
SHENZHEN OS.CHS.TOWN 'A',CN:OVE,9/10/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shenzhen Overseas Chinese Town 'A'
ZHEJIANG TRANSFAR 'A',CN:ZTC,6/29/2004,11Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Zhejiang Transfar 'A'
CHANGJIANG SECURITIES 'A',CN:SOA,7/31/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Changjiang Securities 'A'
GUANGDONG ALP.ANIM.& CUL.'A',CN:GAA,9/10/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Guangdong Alpha Animation and Culture 'A'
HANGZHOU LIAISON INTACT. ITECH.'A',CN:HIT,8/21/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Hangzhou Liaison Interactive Information Technology 'A'
LENS TECHNOLOGY 'A',CN:LET,3/18/2015,1Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Lens Technology 'A'
SHANGHAI WANGSU SCTC.'A',CN:SWS,10/30/2009,6Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Shanghai Wangsu Science and Technology 'A'
TCL 'A',CN:TCL,1/30/2004,12Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,TCL 'A'
ZTE 'A',CN:SNT,11/18/1997,18Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,ZTE 'A'
GCL SY.INTG.TECH.'A',CN:SLR,11/18/2010,5Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,GCL System Integration Technology 'A'
GOERTEK 'A',CN:GEO,5/22/2008,7Y,Equities,Shenzhen,China,Chinese Yuan Renminbi,Equity,Goertek 'A'
