Name,Symbol,Start Date,Hist.,Category,Exchange,Market,Currency,Type,Full Name
PETROCHINA 'A',CN:PCL,11/5/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Petrochina 'A'
INDUSTRIAL & COML.BK.OF CHINA 'A',CN:ITL,10/27/2006,9Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Industrial and Commercial Bank of China 'A'
AGRICULTURAL BANK OF CHINA 'A',CN:ABC,7/15/2010,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Agricultural Bank of China 'A'
BANK OF CHINA 'A',CN:BCL,7/5/2006,9Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Bank of China 'A'
CHINA LIFE INSURANCE 'A',CN:CLF,1/9/2007,9Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Life Insurance 'A'
CHINA PTL.& CHM.'A',CN:CPC,8/8/2001,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Petroleum and Chemical 'A'
SHAI.PUDONG DEV.BK. 'A',CN:SPU,11/10/1999,16Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shanghai Pudong Development Bank 'A'
CHINA MERCHANTS BANK 'A',CN:MER,4/9/2002,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Merchants Bank 'A'
KWEICHOW MOUTAI 'A',CN:KCM,8/27/2001,14Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Kweichow Moutai 'A'
INDUSTRIAL BANK 'A',CN:IBC,2/5/2007,9Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Industrial Bank 'A'
CHINA MINSHENG BANKING 'A',CN:CMB,12/19/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Minsheng Banking 'A'
CHINA SHENHUA EN.'A',CN:CSE,10/9/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Shenhua Energy 'A'
CRRC 'A',CN:CSL,8/18/2008,7Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,CRRC 'A'
SAIC MOTOR 'A',CN:SAM,11/25/1997,18Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Saic Motor 'A'
BANK OF COMMS.'A',CN:BOC,5/15/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Bank of Communications 'A'
CHINA CITIC BANK 'A',CN:CNB,4/27/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Citic Bank 'A'
CHINA YANGTZE PWR. 'A',CN:CYP,11/18/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Yangtze Power 'A'
CHINA PAC.IN.(GROUP) 'A',CN:CNP,12/25/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Pacific Insurance (Group) 'A'
CHINA STATE CON.ENGR.'A',CN:CER,7/29/2009,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China State Construction Engineering 'A'
CITIC SECURITIES 'A',CN:CSC,1/6/2003,13Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Citic Securities 'A'
CHINA RAILWAY GROUP 'A',CN:CRG,12/3/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Railway Group 'A'
GREENLAND HOLDINGS 'A',CN:JIA,4/10/1992,24Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Greenland Holdings 'A'
CHINA EVERBRIGHT BK.'A',CN:CEB,8/18/2010,5Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Everbright Bank 'A'
GUOTAI JUNAN SECS.'A',CN:GJS,6/26/2015,<1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Guotai Junan Securities 'A'
CHINA RAILWAY CON.'A',CN:CRC,3/10/2008,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Railway Construction 'A'
BANK OF BEIJING 'A',CN:BKB,9/19/2007,8Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Bank of Beijing 'A'
CHINA SHIPBUILDING IND. 'A',CN:QBD,12/16/2009,6Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China Shipbuilding Industry 'A'
CHINA NAT.NRR.'A',CN:NNR,6/10/2015,<1Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,China National NRR 'A'
SHANGHAI INTL.POR.GP. 'A',CN:SPZ,7/20/2000,15Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Shanghai International Port Group 'A'
HAITONG SECURITIES 'A',CN:SMT,2/24/1994,22Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Haitong Securities 'A'
HUAXIA BANK 'A',CN:HXB,9/12/2003,12Y,Equities,Shanghai,China,Chinese Yuan Renminbi,Equity,Huaxia Bank 'A'
