,CCY,SYMBOL,WC07015
379,NA,CN:ASC,NA
380,NA,CN:AWA,NA
381,NA,CN:AXN,NA
382,NA,CN:YEM,NA
383,NA,CN:AIS,NA
384,NA,CN:AFG,NA
385,NA,CN:ASI,NA
386,NA,CN:BBO,NA
387,NA,CN:SJG,NA
388,NA,CN:BTC,NA
389,NA,CN:BNG,NA
390,NA,CN:BAA,NA
391,NA,CN:BAU,NA
392,NA,CN:BGR,NA
393,NA,CN:BGU,NA
394,NA,CN:BGF,NA
395,NA,CN:BLB,NA
396,NA,CN:BBC,NA
397,NA,CN:BEX,NA
398,NA,CN:BJN,NA
399,NA,CN:BTL,NA
400,NA,CN:BEN,NA
401,NA,CN:BHO,NA
402,NA,CN:BSF,NA
403,NA,CN:AUA,NA
404,NA,CN:BTT,NA
405,NA,CN:BPF,NA
406,NA,CN:BWJ,NA
407,NA,CN:SGI,NA
408,NA,CN:BPC,NA
409,NA,CN:BML,NA
410,NA,CN:BOT,NA
411,NA,CN:BRS,NA
412,NA,CN:GST,NA
413,NA,CN:CMO,NA
414,NA,CN:ACA,NA
415,NA,CN:SWO,NA
416,NA,CN:FPE,NA
417,NA,CN:CZG,NA
418,NA,CN:CXA,NA
419,NA,CN:SIL,NA
420,NA,CN:CGQ,NA
421,NA,CN:XLZ,NA
422,NA,CN:CHF,NA
423,NA,CN:CHU,NA
424,NA,CN:SWQ,NA
425,NA,CN:CES,NA
426,NA,CN:CHH,NA
427,NA,CN:DTI,NA
428,NA,CN:BEW,NA
429,NA,CN:HAN,NA
430,NA,CN:WCF,NA
431,NA,CN:CWL,NA
432,NA,CN:CCH,NA
433,NA,CN:CBR,NA
434,NA,CN:QAU,NA
435,NA,CN:CHD,NA
436,NA,CN:CFE,NA
437,NA,CN:CGU,NA
438,NA,CN:CHW,NA
439,NA,CN:CHT,NA
440,NA,CN:CQA,NA
441,NA,CN:CTG,NA
442,NA,CN:BTQ,NA
443,NA,CN:SUN,NA
444,NA,CN:FUZ,NA
445,NA,CN:CJE,NA
446,NA,CN:CNN,NA
447,NA,CN:JHI,NA
448,NA,CN:CIL,NA
449,NA,CN:DHT,NA
450,NA,CN:DAX,NA
451,NA,CN:DDS,NA
452,NA,CN:DME,NA
453,NA,CN:DZP,NA
454,NA,CN:SLN,NA
455,NA,CN:EST,NA
456,NA,CN:ZHF,NA
457,NA,CN:JCS,NA
458,NA,CN:SYI,NA
459,NA,CN:FDD,NA
460,NA,CN:FEX,NA
461,NA,CN:LEU,NA
462,NA,CN:FQP,NA
463,NA,CN:TET,NA
464,NA,CN:FSS,NA
465,NA,CN:GNS,NA
466,NA,CN:YAS,NA
467,NA,CN:GMY,NA
468,NA,CN:NHD,NA
469,NA,CN:XSM,NA
470,NA,CN:GRN,NA
471,NA,CN:GGX,NA
472,NA,CN:KGD,NA
473,NA,CN:GRI,NA
474,NA,CN:JHG,NA
475,NA,CN:GNW,NA
476,NA,CN:QIT,NA
477,NA,CN:QUI,NA
478,NA,CN:GCC,NA
479,NA,CN:ELE,NA
480,NA,CN:GPR,NA
481,NA,CN:HYD,NA
482,NA,CN:HFI,NA
483,NA,CN:HJR,NA
484,NA,CN:HSM,NA
485,NA,CN:HRG,NA
486,NA,CN:KGE,NA
487,NA,CN:HAR,NA
488,NA,CN:HVE,NA
489,NA,CN:HBC,NA
490,NA,CN:HYI,NA
491,NA,CN:HIF,NA
492,NA,CN:HBD,NA
493,NA,CN:HTD,NA
494,NA,CN:HEC,NA
495,NA,CN:HLP,NA
496,NA,CN:HNL,NA
497,NA,CN:HMA,NA
498,NA,CN:LXP,NA
499,NA,CN:HYG,NA
500,NA,CN:HZU,NA
501,NA,CN:HZE,NA
502,NA,CN:HEG,NA
503,NA,CN:HFT,NA
504,NA,CN:HTR,NA
505,NA,CN:HCC,NA
506,NA,CN:SFM,NA
507,NA,CN:HBI,NA
508,NA,CN:HKP,NA
509,NA,CN:HBM,NA
510,NA,CN:AHG,NA
511,NA,CN:HCT,NA
512,NA,CN:LLK,NA
513,NA,CN:SVD,NA
514,NA,CN:ILY,NA
515,NA,CN:IEC,NA
516,NA,CN:ILT,NA
517,NA,CN:ZNT,NA
518,NA,CN:SND,NA
519,NA,CN:CAI,NA
520,NA,CN:JMM,NA
521,NA,CN:JSY,NA
522,NA,CN:HOY,NA
523,NA,CN:JJW,NA
524,NA,CN:JCY,NA
525,NA,CN:JKP,NA
526,NA,CN:JPO,NA
527,NA,CN:QND,NA
528,NA,CN:ZHB,NA
529,NA,CN:USC,NA
530,NA,CN:JSU,NA
531,NA,CN:WML,NA
532,NA,CN:JGC,NA
533,NA,CN:JYC,NA
534,NA,CN:JYS,NA
535,NA,CN:JXG,NA
536,NA,CN:JNG,NA
537,NA,CN:JHV,NA
538,NA,CN:JWG,NA
539,NA,CN:JSM,NA
540,NA,CN:JLQ,NA
541,NA,CN:JAX,NA
542,NA,CN:JHC,NA
543,NA,CN:JOE,NA
544,NA,CN:KGN,NA
545,NA,CN:KCC,NA
546,NA,CN:GKD,NA
547,NA,CN:KPC,NA
548,NA,CN:LNG,NA
549,NA,CN:WAJ,NA
550,NA,CN:LWS,NA
551,NA,CN:IAS,NA
552,NA,CN:LNU,NA
553,NA,CN:LPG,NA
554,NA,CN:LIS,NA
555,NA,CN:LYC,NA
556,NA,CN:LFC,NA
557,NA,CN:LGC,NA
558,NA,CN:SZW,NA
559,NA,CN:MIF,NA
560,NA,CN:WUM,NA
561,NA,CN:NHG,NA
562,NA,CN:NAC,NA
563,NA,CN:NCE,NA
564,NA,CN:NIS,NA
565,NA,CN:NKM,NA
566,NA,CN:NNP,NA
567,NA,CN:NTN,NA
568,NA,CN:NBC,NA
569,NA,CN:NIG,NA
570,NA,CN:JFA,NA
571,NA,CN:NMS,NA
572,NA,CN:HXT,NA
573,NA,CN:NIY,NA
574,NA,CN:NHS,NA
575,NA,CN:NCP,NA
576,NA,CN:HBH,NA
577,NA,CN:DNG,NA
578,NA,CN:DCP,NA
579,NA,CN:POP,NA
580,NA,CN:PIN,NA
581,NA,CN:PBE,NA
582,NA,CN:QSA,NA
583,NA,CN:QBC,NA
584,NA,CN:QFR,NA
585,NA,CN:HXP,NA
586,NA,CN:LUN,NA
587,NA,CN:HME,NA
588,NA,CN:WER,NA
589,NA,CN:SQC,NA
590,NA,CN:SSN,NA
591,NA,CN:STB,NA
592,NA,CN:SCA,NA
593,NA,CN:DER,NA
594,NA,CN:SCC,NA
595,NA,CN:FGL,NA
596,NA,CN:SHI,NA
597,NA,CN:SCO,NA
598,NA,CN:SJI,NA
599,NA,CN:SHR,NA
600,NA,CN:SPN,NA
601,NA,CN:SSC,NA
602,NA,CN:SHW,NA
603,NA,CN:STO,NA
604,NA,CN:SYD,NA
605,NA,CN:SZJ,NA
606,NA,CN:PST,NA
607,NA,CN:SAN,NA
608,NA,CN:HMY,NA
609,NA,CN:SUH,NA
610,NA,CN:SUP,NA
611,NA,CN:THS,NA
612,NA,CN:SJS,NA
613,NA,CN:SLU,NA
614,NA,CN:IDA,NA
615,NA,CN:JDS,NA
616,NA,CN:BAP,NA
617,NA,CN:SBC,NA
618,NA,CN:SJL,NA
619,NA,CN:CLG,NA
620,NA,CN:SHD,NA
621,NA,CN:SDH,NA
622,NA,CN:KIA,NA
623,NA,CN:DON,NA
624,NA,CN:STR,NA
625,NA,CN:SJP,NA
626,NA,CN:SN9,NA
627,NA,CN:SLA,NA
628,NA,CN:SML,NA
629,NA,CN:SNW,NA
630,NA,CN:SIM,NA
631,NA,CN:SRM,NA
632,NA,CN:SSI,NA
633,NA,CN:SYP,NA
634,NA,CN:SNG,NA
635,NA,CN:SLC,NA
636,NA,CN:SZI,NA
637,NA,CN:SNI,NA
638,NA,CN:SFI,NA
639,NA,CN:SHT,NA
640,NA,CN:TEX,NA
641,NA,CN:CPJ,NA
642,NA,CN:SII,NA
643,NA,CN:SXM,NA
644,NA,CN:TLT,NA
645,NA,CN:SYJ,NA
646,NA,CN:SZL,NA
647,NA,CN:GJE,NA
648,NA,CN:SLE,NA
649,NA,CN:MAR,NA
650,NA,CN:JSA,NA
651,NA,CN:SGC,NA
652,NA,CN:SCG,NA
653,NA,CN:SNP,NA
654,NA,CN:SIH,NA
655,NA,CN:TSD,NA
656,NA,CN:SEY,NA
657,NA,CN:CCI,NA
658,NA,CN:TJI,NA
659,NA,CN:DPE,NA
660,NA,CN:SUO,NA
661,NA,CN:THI,NA
662,NA,CN:ZTE,NA
663,NA,CN:TSI,NA
664,NA,CN:TBC,NA
665,NA,CN:TRD,NA
666,NA,CN:FTL,NA
667,NA,CN:TZP,NA
668,NA,CN:XRP,NA
669,NA,CN:TTC,NA
670,NA,CN:TBT,NA
671,NA,CN:UST,NA
672,NA,CN:TGW,NA
673,NA,CN:TKN,NA
674,NA,CN:TJS,NA
675,NA,CN:TOP,NA
676,NA,CN:ZTI,NA
677,NA,CN:TFS,NA
678,NA,CN:ZWW,NA
679,NA,CN:WLM,NA
680,NA,CN:WGW,NA
681,NA,CN:WCG,NA
682,NA,CN:MUC,NA
683,NA,CN:WEL,NA
684,NA,CN:WSI,NA
685,NA,CN:WUX,NA
686,NA,CN:XFC,NA
687,NA,CN:XMN,NA
688,NA,CN:XMC,NA
689,NA,CN:XEM,NA
690,NA,CN:XSP,NA
691,NA,CN:XEL,NA
692,NA,CN:AZQ,NA
693,NA,CN:HLY,NA
694,NA,CN:XGF,NA
695,NA,CN:XQC,NA
696,NA,CN:XTT,NA
697,NA,CN:XUC,NA
698,NA,CN:XXT,NA
699,NA,CN:XYI,NA
700,NA,CN:XME,NA
701,NA,CN:YAP,NA
702,NA,CN:DEC,NA
703,NA,CN:PHC,NA
704,NA,CN:YNH,NA
705,NA,CN:YHN,NA
706,NA,CN:YUE,NA
707,NA,CN:YNM,NA
708,NA,CN:YNP,NA
709,NA,CN:AOK,NA
710,NA,CN:ZCT,NA
711,NA,CN:ZDM,NA
712,NA,CN:ZFE,NA
713,NA,CN:ZGB,NA
714,NA,CN:ZHG,NA
715,NA,CN:ZAI,NA
716,NA,CN:HAG,NA
717,NA,CN:ZSS,NA
718,NA,CN:CZS,NA
719,NA,CN:ZCO,NA
720,NA,CN:ZJA,NA
721,NA,CN:ZRD,NA
722,NA,CN:SUI,NA
723,NA,CN:ZBC,NA
724,NA,CN:ZGY,NA
725,NA,CN:ZHW,NA
726,NA,CN:ZSG,NA
727,NA,CN:ZCM,NA
728,NA,CN:SFB,NA
729,NA,CN:FNC,NA
730,NA,CN:HBQ,NA
731,NA,CN:ZKG,NA
732,NA,CN:HZT,NA
733,NA,CN:ZTN,NA
734,NA,CN:AEO,NA
735,NA,CN:ARI,NA
736,NA,CN:AGC,NA
737,NA,CN:AGH,NA
738,NA,CN:JTD,NA
739,NA,CN:ANI,NA
740,NA,CN:ALC,NA
741,NA,CN:AQE,NA
742,NA,CN:ATE,NA
743,NA,CN:ANW,NA
744,NA,CN:AXA,NA
745,NA,CN:ACC,NA
746,NA,CN:AFO,NA
747,NA,CN:ANY,NA
748,NA,CN:SDR,NA
749,NA,CN:SAW,NA
750,NA,CN:QAC,NA
751,NA,CN:KGA,NA
752,NA,CN:BTE,NA
753,NA,CN:HUE,NA
754,NA,CN:GHU,NA
755,NA,CN:BPT,NA
756,NA,CN:BAI,NA
757,NA,CN:BCT,NA
758,NA,CN:CUI,NA
759,NA,CN:IMN,NA
760,NA,8722AH,NA
761,NA,CN:BHH,NA
762,NA,CN:XEX,NA
763,NA,CN:BHC,NA
764,NA,CN:BPM,NA
765,NA,CN:QJL,NA
766,NA,CN:BUR,NA
767,NA,CN:BJZ,NA
768,NA,CN:BGM,NA
769,NA,CN:TYR,NA
770,NA,CN:BTO,NA
771,NA,CN:CAT,NA
772,NA,CN:CCG,NA
773,NA,CN:CYC,NA
774,NA,CN:CEC,NA
775,NA,CN:CGN,NA
776,NA,CN:CTA,NA
777,NA,CN:CXE,NA
778,NA,CN:CDS,NA
779,NA,CN:CJI,NA
780,NA,CN:CHM,NA
781,NA,CN:UTC,NA
782,NA,CN:CWS,NA
783,NA,CN:CZT,NA
784,NA,CN:HDO,NA
785,NA,CN:DAD,NA
786,NA,CN:DAE,NA
787,NA,CN:DSO,NA
788,NA,CN:DLN,NA
789,NA,CN:SER,NA
790,NA,CN:HUH,NA
791,NA,CN:DCI,NA
792,NA,CN:DFA,NA
793,NA,CN:EBE,NA
794,NA,CN:FCC,NA
795,NA,CN:FFE,NA
796,NA,CN:FFT,NA
797,NA,CN:FLB,NA
798,NA,CN:FJS,NA
799,NA,CN:HBF,NA
800,NA,CN:MIN,NA
801,NA,CN:GDS,NA
802,NA,CN:GMI,NA
803,NA,CN:GAR,NA
804,NA,CN:GEG,NA
805,NA,CN:HUT,NA
806,NA,CN:DSG,NA
807,NA,CN:CHC,NA
808,NA,CN:GMB,NA
809,NA,CN:SOC,NA
810,NA,8722AW,NA
811,NA,CN:TTG,NA
812,NA,CN:GFW,NA
813,NA,CN:GXP,NA
814,NA,CN:GWC,NA
815,NA,CN:GQE,NA
816,NA,CN:HCF,NA
817,NA,8722AR,NA
818,NA,CN:GAC,NA
819,NA,CN:GRS,NA
820,NA,CN:GWR,NA
821,NA,CN:GJA,NA
822,NA,CN:ADV,NA
823,NA,CN:HZC,NA
824,NA,CN:HTP,NA
825,NA,CN:YEI,NA
826,NA,CN:HCO,NA
827,NA,CN:HRB,NA
828,NA,CN:HDA,NA
829,NA,CN:HHT,NA
830,NA,CN:HCD,NA
831,NA,CN:CAN,NA
832,NA,CN:QRT,NA
833,NA,CN:HHC,NA
834,NA,CN:HEN,NA
835,NA,CN:HNR,NA
836,NA,CN:HZZ,NA
837,NA,CN:HTL,NA
838,NA,CN:JTE,NA
839,NA,CN:HTM,NA
840,NA,CN:HFG,NA
841,NA,CN:HBE,NA
842,NA,8722AP,NA
843,NA,87219G,NA
844,NA,CN:SBD,NA
845,NA,CN:HWC,NA
846,NA,CN:HXC,NA
847,NA,CN:WSB,NA
848,NA,CN:HCI,NA
849,NA,CN:HUN,NA
850,NA,CN:HHY,NA
851,NA,CN:HIR,NA
852,NA,CN:HNW,NA
853,NA,CN:JQM,NA
854,NA,CN:INH,NA
855,NA,CN:QYU,NA
856,NA,CN:JCE,NA
857,NA,CN:JDI,NA
858,NA,CN:JCR,NA
859,NA,CN:JIS,NA
860,NA,CN:JHT,NA
861,NA,CN:JJH,NA
862,NA,CN:JAL,NA
863,NA,CN:LEJ,NA
864,NA,CN:LUG,NA
865,NA,CN:JSP,NA
866,NA,CN:JSW,NA
867,NA,CN:SGP,NA
868,NA,CN:JSI,NA
869,NA,CN:JXN,NA
870,NA,CN:JAN,NA
871,NA,CN:JYD,NA
872,NA,CN:JZT,NA
873,NA,CN:JNZ,NA
874,NA,CN:JCJ,NA
875,NA,CN:JXC,NA
876,NA,CN:WTW,NA
877,NA,CN:JLP,NA
878,NA,8722AA,NA
879,NA,CN:JNE,NA
880,NA,CN:JFI,NA
881,NA,CN:JYG,NA
882,NA,CN:JLH,NA
883,NA,CN:ZSQ,NA
884,NA,CN:HHS,NA
885,NA,CN:KNM,NA
886,NA,CN:SRW,NA
887,NA,CN:XMR,NA
888,NA,CN:LTE,NA
889,NA,CN:LHU,NA
890,NA,CN:LAN,NA
891,NA,CN:HLT,NA
892,NA,CN:LEP,NA
893,NA,CN:LFA,NA
894,NA,CN:LTG,NA
895,NA,CN:LCL,NA
896,NA,CN:LCI,NA
897,NA,CN:LLZ,NA
898,NA,CN:BSS,NA
899,NA,CN:SDW,NA
900,NA,CN:LUY,NA
901,NA,CN:CPD,NA
902,NA,CN:XMZ,NA
903,NA,CN:MSP,NA
904,NA,CN:MHP,NA
905,NA,CN:NNJ,NA
906,NA,CN:ISE,NA
907,NA,CN:NAJ,NA
908,NA,CN:NJT,NA
909,NA,CN:NCI,NA
910,NA,CN:NID,NA
911,NA,CN:AAC,NA
912,NA,CN:NJA,NA
913,NA,CN:ALY,NA
914,NA,CN:NCO,NA
915,NA,CN:NNG,NA
916,NA,CN:NGA,NA
917,NA,CN:NOC,NA
918,NA,CN:NGN,NA
919,NA,CN:NUN,NA
920,NA,CN:NDG,NA
921,NA,CN:NZC,NA
922,NA,CN:NAI,NA
923,NA,CN:LPM,NA
924,NA,CN:HAW,NA
925,NA,CN:HLF,NA
926,NA,CN:QCF,NA
927,NA,CN:QWR,NA
