,CCY,SYMBOL,WC07015
0,NA,CN:WSN,NA
1,NA,CN:DEV,NA
2,NA,CN:GUS,NA
3,NA,CN:GNG,NA
4,NA,CN:MGA,NA
5,NA,CN:SVN,NA
6,NA,CN:HVD,NA
7,NA,CN:MSI,NA
8,NA,CN:RAA,NA
9,NA,CN:YWU,NA
10,NA,CN:YAR,NA
11,NA,CN:JYB,NA
12,NA,CN:BEL,NA
13,NA,CN:SIG,NA
14,NA,CN:EMI,NA
15,NA,CN:HES,NA
16,NA,CN:CCA,NA
17,NA,CN:HPR,NA
18,NA,CN:XAI,NA
19,NA,CN:BON,NA
20,NA,CN:BEO,NA
21,NA,CN:BKX,NA
22,NA,CN:NYU,NA
23,NA,CN:OVE,NA
24,NA,CN:ZTC,NA
25,NA,CN:SOA,NA
26,NA,CN:GAA,NA
27,NA,CN:HIT,NA
28,NA,CN:LET,NA
29,NA,CN:SWS,NA
30,NA,CN:TCL,NA
31,NA,CN:SNT,NA
32,NA,CN:SLR,NA
33,NA,CN:GEO,NA
34,NA,CN:FIN,NA
35,NA,CN:HMD,NA
36,NA,CN:RSA,NA
37,NA,CN:ALI,NA
38,NA,CN:TZA,NA
39,NA,CN:WAN,NA
40,NA,CN:ZDA,NA
41,NA,CN:AVI,NA
42,NA,CN:BKT,NA
43,NA,CN:BGT,NA
44,NA,CN:BSI,NA
45,NA,CN:ZGI,NA
46,NA,CN:SGF,NA
47,NA,CN:EAS,NA
48,NA,CN:GFC,NA
49,NA,CN:BEH,NA
50,NA,CN:TIS,NA
51,NA,CN:HMO,NA
52,NA,CN:HUZ,NA
53,NA,CN:ERK,NA
54,NA,CN:DEG,NA
55,NA,CN:LMT,NA
56,NA,CN:SLP,NA
57,NA,CN:LUZ,NA
58,NA,CN:NHA,NA
59,NA,CN:QHS,NA
60,NA,CN:RPC,NA
61,NA,CN:GUQ,NA
62,NA,CN:XNS,NA
63,NA,CN:GWS,NA
64,NA,CN:SUA,NA
65,NA,CN:ZWN,NA
66,NA,CN:GZG,NA
67,NA,CN:FUA,NA
68,NA,CN:AEH,NA
69,NA,CN:ANS,NA
70,NA,CN:FEV,NA
71,NA,CN:HII,NA
72,NA,CN:BFT,NA
73,NA,CN:QCG,NA
74,NA,CN:JTS,NA
75,NA,CN:BJJ,NA
76,NA,CN:BOL,NA
77,NA,CN:BSC,NA
78,NA,CN:BSR,NA
79,NA,CN:BCI,NA
80,NA,CN:BEK,NA
81,NA,CN:ABF,NA
82,NA,CN:NOS,NA
83,NA,CN:YBA,NA
84,NA,CN:BCF,NA
85,NA,CN:GBH,NA
86,NA,CN:ZYY,NA
87,NA,CN:YTR,NA
88,NA,CN:CKP,NA
89,NA,CN:CAO,NA
90,NA,CN:BAN,NA
91,NA,CN:JNX,NA
92,NA,CN:CMA,NA
93,NA,CN:YIM,NA
94,NA,CN:SMP,NA
95,NA,CN:SJN,NA
96,NA,CN:SRK,NA
97,NA,CN:CZB,NA
98,NA,CN:BAH,NA
99,NA,CN:DAN,NA
100,NA,CN:DFC,NA
101,NA,CN:SJZ,NA
102,NA,CN:FCL,NA
103,NA,CN:CHQ,NA
104,NA,CN:FSD,NA
105,NA,CN:GRG,NA
106,NA,CN:GEP,NA
107,NA,CN:GHG,NA
108,NA,CN:HCG,NA
109,NA,CN:GBG,NA
110,NA,CN:HLA,NA
111,NA,CN:HBR,NA
112,NA,CN:ABS,NA
113,NA,CN:HRA,NA
114,NA,CN:HGR,NA
115,NA,CN:HEE,NA
116,NA,CN:CNQ,NA
117,NA,CN:HSP,NA
118,NA,CN:HSA,NA
119,NA,CN:LEI,NA
120,NA,CN:JJT,NA
121,NA,CN:GAO,NA
122,NA,CN:DJC,NA
123,NA,CN:JGL,NA
124,NA,CN:YNB,NA
125,NA,CN:HUJ,NA
126,NA,CN:HBJ,NA
127,NA,CN:JCL,NA
128,NA,CN:SKE,NA
129,NA,CN:ZLE,NA
130,NA,CN:MUY,NA
131,NA,CN:NTP,NA
132,NA,CN:ORG,NA
133,NA,CN:PAN,NA
134,NA,CN:QTE,NA
135,NA,CN:RRE,NA
136,NA,CN:HSR,NA
137,NA,CN:SIT,NA
138,NA,CN:SDJ,NA
139,NA,CN:HDY,NA
140,NA,CN:FFF,NA
141,NA,CN:KWS,NA
142,NA,CN:BCM,NA
143,NA,CN:FUT,NA
144,NA,CN:TAS,NA
145,NA,CN:SXZ,NA
146,NA,CN:EEG,NA
147,NA,CN:ASD,NA
148,NA,CN:ENI,NA
149,NA,CN:SQA,NA
150,NA,CN:SLK,NA
151,NA,CN:SIV,NA
152,NA,CN:SIQ,NA
153,NA,CN:SOF,NA
154,NA,CN:ERT,NA
155,NA,CN:SWU,NA
156,NA,CN:AGR,NA
157,NA,CN:SHQ,NA
158,NA,CN:TEI,NA
159,NA,CN:SVO,NA
160,NA,CN:NON,NA
161,NA,CN:DAC,NA
162,NA,CN:SKQ,NA
163,NA,CN:DTA,NA
164,NA,CN:GXI,NA
165,NA,CN:GNI,NA
166,NA,CN:SGL,NA
167,NA,CN:SVP,NA
168,NA,CN:TAI,NA
169,NA,CN:TWA,NA
170,NA,CN:FUS,NA
171,NA,CN:TUS,NA
172,NA,CN:TZS,NA
173,NA,CN:STM,NA
174,NA,CN:TJY,NA
175,NA,CN:ANT,NA
176,NA,CN:HUU,NA
177,NA,CN:WCA,NA
178,NA,CN:WIL,NA
179,NA,CN:XUZ,NA
180,NA,CN:XMH,NA
181,NA,CN:XIP,NA
182,NA,CN:XIZ,NA
183,NA,CN:FSH,NA
184,NA,CN:ZIJ,NA
185,NA,CN:GLS,NA
186,NA,CN:YTG,NA
187,NA,CN:YLP,NA
188,NA,CN:ZCH,NA
189,NA,CN:FLM,NA
190,NA,CN:ZJN,NA
191,NA,CN:GRM,NA
192,NA,CN:ZCS,NA
193,NA,CN:ZYM,NA
194,NA,CN:ZBO,NA
195,NA,CN:CSZ,NA
196,NA,CN:ACT,NA
197,NA,CN:HFA,NA
198,NA,CN:WNT,NA
199,NA,CN:WCL,NA
200,NA,CN:AAB,NA
201,NA,CN:ANG,NA
202,NA,CN:ASM,NA
203,NA,CN:JKG,NA
204,NA,CN:BDS,NA
205,NA,CN:FTV,NA
206,NA,CN:BJC,NA
207,NA,CN:ABR,NA
208,NA,CN:BLT,NA
209,NA,CN:BEJ,NA
210,NA,CN:BOY,NA
211,NA,CN:PHL,NA
212,NA,CN:BSU,NA
213,NA,CN:BSA,NA
214,NA,CN:BIJ,NA
215,NA,CN:THU,NA
216,NA,CN:BUS,NA
217,NA,CN:BWB,NA
218,NA,CN:BZS,NA
219,NA,CN:BSD,NA
220,NA,CN:BEG,NA
221,NA,CN:IST,NA
222,NA,CN:CTC,NA
223,NA,CN:JAA,NA
224,NA,CN:CTE,NA
225,NA,CN:CXI,NA
226,NA,CN:CAM,NA
227,NA,CN:CGW,NA
228,NA,CN:SGN,NA
229,NA,CN:CNM,NA
230,NA,CN:CNL,NA
231,NA,CN:HAP,NA
232,NA,CN:HIG,NA
233,NA,CN:ABB,NA
234,NA,CN:CSG,NA
235,NA,CN:DIH,NA
236,NA,CN:DSF,NA
237,NA,CN:EEC,NA
238,NA,CN:FPH,NA
239,NA,CN:GCI,NA
240,NA,CN:SEM,NA
241,NA,CN:GSD,NA
242,NA,CN:GGO,NA
243,NA,CN:GRT,NA
244,NA,CN:HUC,NA
245,NA,CN:GAG,NA
246,NA,CN:GBA,NA
247,NA,CN:DEP,NA
248,NA,CN:MYY,NA
