,PI
2013-05-06,2335.172
2013-05-13,2346.492
2013-05-20,2407.362
2013-05-27,2400.137
2013-06-03,2406.692
2013-06-10,2314.045
2013-06-17,2256.775
2013-06-24,2054.621
2013-07-01,2088.077
2013-07-08,2049.542
2013-07-15,2155.349
2013-07-22,2098.322
2013-07-29,2068.385
2013-08-05,2146.162
2013-08-12,2199.247
2013-08-19,2182.767
2013-08-26,2194.088
2013-09-02,2196.601
2013-09-09,2316.301
2013-09-16,2336.12
2013-09-23,2324.879
2013-09-30,2276.265
2013-10-07,2276.265
2013-10-14,2342.377
2013-10-21,2333.429
2013-10-28,2233.471
2013-11-04,2250.096
2013-11-11,2208.006
2013-11-18,2300.166
2013-11-25,2288.457
2013-12-02,2310.769
2013-12-09,2342.894
2013-12-16,2261.862
2013-12-23,2187.142
2013-12-30,2195.106
2014-01-06,2141.025
2014-01-13,2103.066
2014-01-20,2083.74
2014-01-27,2127.755
2014-02-03,2127.617
2014-02-10,2183.225
2014-02-17,2235.392
2014-02-24,2173.928
2014-03-03,2172.565
2014-03-10,2092.751
2014-03-17,2118.512
2014-03-24,2163.4
2014-03-31,2128.785
2014-04-07,2155.532
2014-04-14,2231.808
2014-04-21,2162.897
2014-04-28,2097.561
2014-05-05,2122.481
2014-05-12,2149.248
2014-05-19,2099.24
2014-05-26,2137.212
2014-06-02,2135.087
2014-06-09,2125.905
2014-06-16,2184.237
2014-06-23,2119.624
2014-06-30,2144.746
2014-07-07,2156.785
2014-07-14,2163.764
2014-07-21,2151.007
2014-07-28,2280.536
2014-08-04,2328.021
2014-08-11,2329.298
2014-08-18,2344.407
2014-08-25,2333.8
2014-09-01,2340.12
2014-09-08,2435.574
2014-09-15,2448.766
2014-09-22,2397.161
2014-09-29,2468.17
2014-10-06,2474.589
2014-10-13,2477.08
2014-10-20,2467.345
2014-10-27,2397.92
2014-11-03,2544.318
2014-11-10,2590.333
2014-11-17,2590.627
2014-11-24,2652.23
2014-12-01,2806.937
2014-12-08,3164.306
2014-12-15,3093.68
2014-12-22,3276.891
2014-12-29,3319.475
2015-01-05,3511.048
2015-01-12,3383.836
2015-01-19,3265.339
2015-01-26,3545.407
2015-02-02,3277.586
2015-02-09,3242.713
2015-02-16,3376.276
2015-02-23,3402.06
2015-03-02,3495.987
2015-03-09,3460.377
2015-03-16,3614.522
2015-03-23,3865.048
2015-03-30,3968.826
2015-04-06,4050.095
2015-04-13,4318.563
2015-04-20,4418.895
2015-04-27,4744.09
2015-05-04,4694.551
2015-05-11,4539.891
2015-05-18,4485.031
2015-05-25,5041.438
2015-06-01,5056.188
2015-06-08,5375.18
2015-06-15,5302.773
2015-06-22,4689.563
2015-06-29,4245.469
2015-07-06,3955.996
2015-07-13,4159.781
2015-07-20,4182.637
2015-07-27,3903.456
2015-08-03,3795.902
2015-08-10,4115.723
2015-08-17,4184.133
2015-08-24,3362.83
2015-08-31,3358.812
2015-09-07,3227.365
2015-09-14,3263.368
2015-09-21,3306.421
2015-09-28,3247.803
2015-10-05,3197.372
2015-10-12,3443.406
2015-10-19,3547.078
2015-10-26,3591.912
2015-11-02,3481.943
2015-11-09,3819.442
2015-11-16,3777.327
2015-11-23,3780.923
2015-11-30,3607.392
2015-12-07,3703.338
2015-12-14,3685.935
2015-12-21,3813.086
2015-12-28,3699.304
2016-01-04,3450.031
2016-01-11,3157.712
2016-01-18,3049.492
2016-01-25,3075.422
2016-02-01,2813.679
2016-02-08,2891.622
2016-02-15,2873.572
2016-02-22,3063.165
2016-02-29,2812.804
2016-03-07,3032.193
2016-03-14,2992.377
2016-03-21,3159.276
2016-03-28,3095.224
2016-04-04,3149.471
2016-04-11,3175.087
