,PI
1993-06-28,1048.09
1993-07-05,995.53
1993-07-12,882.25
1993-07-19,875.87
1993-07-26,821.04
1993-08-02,880.12
1993-08-09,923.41
1993-08-16,1066.22
1993-08-23,927.34
1993-08-30,933.15
1993-09-06,983.62
1993-09-13,911.5
1993-09-20,906.96
1993-09-27,911.85
1993-10-04,924.62
1993-10-11,898.72
1993-10-18,863.33
1993-10-25,810.73
1993-11-01,843.93
1993-11-08,864.63
1993-11-15,918.93
1993-11-22,979.58
1993-11-29,1007.13
1993-12-06,1029.75
1993-12-13,981.08
1993-12-20,801.26
1993-12-27,859.11
1994-01-03,848.1
1994-01-10,920.58
1994-01-17,878.95
1994-01-24,861.27
1994-01-31,790.25
1994-02-07,818.76
1994-02-14,800.6
1994-02-21,772.03
1994-02-28,790.65
1994-03-07,735.94
1994-03-14,811.45
1994-03-21,753.43
1994-03-28,724.06
1994-04-04,715.62
1994-04-11,678.87
1994-04-18,620.14
1994-04-25,574.08
1994-05-02,607.72
1994-05-09,595.55
1994-05-16,607.49
1994-05-23,599.867
1994-05-30,552.323
1994-06-06,550.55
1994-06-13,497.79
1994-06-20,508.608
1994-06-27,477.153
1994-07-04,442.472
1994-07-11,431.935
1994-07-18,400.384
1994-07-25,375.307
1994-08-01,447.698
1994-08-08,729.524
1994-08-15,680.213
1994-08-22,698.532
1994-08-29,728.542
1994-09-05,973.43
1994-09-12,1057.31
1994-09-19,959.24
1994-09-26,909.267
1994-10-03,813.48
1994-10-10,715.863
1994-10-17,627.545
1994-10-24,809.34
1994-10-31,668.628
1994-11-07,690.254
1994-11-14,754.351
1994-11-21,718.065
1994-11-28,701.459
1994-12-05,683.655
1994-12-12,638.529
1994-12-19,674.687
1994-12-26,698.457
1995-01-02,667.766
1995-01-09,645.944
1995-01-16,607.513
1995-01-23,570.679
1995-01-30,580.94
1995-02-06,550.081
1995-02-13,563.16
1995-02-20,549.04
1995-02-27,577.67
1995-03-06,636.51
1995-03-13,604.32
1995-03-20,603.95
1995-03-27,650.95
1995-04-03,680.18
1995-04-10,692.0
1995-04-17,653.813
1995-04-24,642.62
1995-05-01,600.53
1995-05-08,591.309
1995-05-15,601.99
