,CCY,DSCD,EXMNEM,GEOG,GEOGC,IBTKR,INDC,INDG,INDM,INDX,INDXEG,INDXFS,INDXL,INDXS,ISIN,ISINID,LOC,MNEM,NAME,SECD,SYMBOL,TYPE
0,CH,691918,SHG,051,CH,@:@60P,BANKS,102,Banks,TOTMKCA,BANKSCH,BANKSCH,CHSASHR,BANKSCH,CNE0000011B7,P,CH600000,CN:SPU,SHAI.PUDONG DEV.BK. 'A',6182043,691918,EQ
1,CH,26996V,SHG,051,CH,@:@K6B,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000001DX0,P,CH600004,CN:GBI,GUANGZHOU BAIYUN INTL. ARPT. 'A',6610221,26996V,EQ
2,CH,691675,SHG,051,CH,@:@550,STEEL,056,Iron & Steel,TOTMKCA,BRESRCH,INDMTCH,CHSASHR,STEELCH,CNE000000ZZ0,P,CH600005,CN:WSP,WUHAN IRON AND STEEL 'A',6165011,691675,EQ
3,CH,691666,SHG,051,CH,@:@0DA,AUTOS,065,Automobiles,TOTMKCA,AUTMBCH,AUTMBCH,CHSASHR,AUTOSCH,CNE000000ZT3,P,CH600006,CN:DFA,DONG FENG AUTOMOBILE 'A' SUSP - SUSP.22/02/16,6163833,691666,EQ
4,CH,691239,SHG,051,CH,@:@867,RLSRV,167,Real Estate Services,TOTMKCA,RLESTCH,RLISVCH,CHSASHR,NA,CNE000000YH1,P,CH600007,CN:CWT,CHINA WLD.TRD.CENTER 'A',6142133,691239,EQ
5,CH,280446,SHG,051,CH,@:@787,WATER,144,Water,TOTMKCA,UTILSCH,NA,CHSASHR,NA,CNE000001295,P,CH600008,CN:BCC,BEIJING CAPITAL 'A',6377098,280446,EQ
6,CH,675083,SHG,051,CH,@:@6S9,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000000V89,P,CH600009,CN:HIA,SHANGHAI INTL.ARPT.'A',6104780,675083,EQ
7,CH,256988,SHG,051,CH,@:@712,STEEL,056,Iron & Steel,TOTMKCA,BRESRCH,INDMTCH,CHSASHR,STEELCH,CNE0000017H1,P,CH600010,CN:IMB,INNER MONGOLIA BAOTOU STEEL UNION 'A',6335933,256988,EQ
8,CH,14866D,SHG,051,CH,@:@4UP,CNVEL,169,Con. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHSASHR,CNVELCH,CNE000001998,P,CH600011,CN:HPI,HUANENG POWER INTL.'A',6422136,14866D,EQ
9,CH,26663H,SHG,051,CH,@:@XUQ,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHSASHR,TRNSVCH,CNE000001DC4,P,CH600012,CN:AEC,ANHUI EXPRESSWAY 'A',6579366,26663H,EQ
