,CCY,DSCD,EXMNEM,GEOG,GEOGC,IBTKR,INDC,INDG,INDM,INDX,INDXEG,INDXFS,INDXL,INDXS,ISIN,ISINID,LOC,MNEM,NAME,SECD,SYMBOL,TYPE
105,CH,141223,SHE,051,CH,@:@HP8,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE0000002X0,P,CH000505,CN:YUN,HAINAN PEARL RVR.HDG. 'A',6402376,141223,EQ
106,CH,141224,SHE,051,CH,@:@EOM,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE0000004D8,P,CH000506,CN:SES,ZHONGRUN RES.INV.'A',6807379,141224,EQ
107,CH,141225,SHE,051,CH,@:@23P,INSUP,032,Industrial Suppliers,TOTMKCA,INDGSCH,NA,CHZASHR,NA,CNE000000149,P,CH000507,CN:ZFG,ZHUH ZHUHAI PORT 'A',6994044,141225,EQ
108,CH,141227,SHE,051,CH,@:@ETJ,BMATS,030,Building Mat.& Fix.,TOTMKCA,CNSTMCH,CNSTMCH,CHZASHR,BMATSCH,CNE0000001G7,P,CH000509,CN:STG,HUASU HOLDINGS 'A' SUSP - SUSP.21/03/16,6782205,141227,EQ
109,CH,141228,SHE,051,CH,@:@EQD,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHZASHR,CHMSPCH,CNE000000172,P,CH000510,CN:SJC,SICHUAN JINLU GROUP 'A',6780351,141228,EQ
110,CH,141229,SHE,051,CH,@:@970,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE000000115,P,CH000511,CN:SPD,INGENIOUS ENE CARBON NEW MATERIALS 'A',6810054,141229,EQ
111,CH,141230,SHE,051,CH,@:@LZHM1,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHZASHR,PHRMCCH,CNE0000002Y8,P,CH000513,CN:ZSL,LIVZON PHARM.GROUP 'A',6997139,141230,EQ
112,CH,141231,SHE,051,CH,@:@EFZ,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE0000004R8,P,CH000514,CN:CRE,CHONGQING YUKAIFA 'A',6187963,141231,EQ
113,CH,141233,SHE,051,CH,@:@EXF,BDRET,087,Broadline Retailers,TOTMKCA,RTAILCH,NA,CHZASHR,NA,CNE000000016,P,CH000516,CN:XJD,XI'AN INTL.MED.INV.'A',6983934,141233,EQ
114,CH,141234,SHE,051,CH,@:@EMZ,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE0000000R6,P,CH000517,CN:NZM,RONGAN PROPERTY 'A',6620866,141234,EQ
115,CH,141235,SHE,051,CH,@:@06D,BIOTC,157,Biotechnology,TOTMKCA,HLTHCCH,PHARMCH,CHZASHR,NA,CNE0000001P8,P,CH000518,CN:KSI,JIANGSU SIHUAN BIOENG. 'A',6502759,141235,EQ
116,CH,141236,SHE,051,CH,@:@581,IMACH,043,Industrial Machinery,TOTMKCA,INDGSCH,INDENCH,CHZASHR,IMACHCH,CNE000000198,P,CH000519,CN:CDA,HUNAN JIANGNAN RED ARROW 'A',6193261,141236,EQ
117,CH,141237,SHE,051,CH,@:@EWI,MARIN,099,Marine Transportation,TOTMKCA,INDGSCH,INDTRCH,CHZASHR,MARINCH,CNE0000003M1,P,CH000520,CN:WPC,CHANG JIANG SHIP.GP. PHNX. 'A',6932248,141237,EQ
