,CCY,DSCD,EXMNEM,GEOG,GEOGC,IBTKR,INDC,INDG,INDM,INDX,INDXEG,INDXFS,INDXL,INDXS,ISIN,ISINID,LOC,MNEM,NAME,SECD,SYMBOL,TYPE
29,CH,141158,SHE,051,CH,@:@EFS,TELEQ,126,Telecom. Equipment,TOTMKCA,TECNOCH,TECHDCH,CHZASHR,TELEQCH,CNE000000FN8,P,CH000035,CN:CKE,CHINA TIANYING 'A',6187327,141158,EQ
30,CH,141323,SHE,051,CH,@:@EWR,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE000000G13,P,CH000036,CN:WZG,CHINA UNION HDG. 'A',6844592,141323,EQ
31,CH,141324,SHE,051,CH,NA,CNVEL,169,Con. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHZASHR,CNVELCH,CNE000000G62,P,CH000037,CN:NSN,SHENZHEN NANSHAN PWR.'A',6818122,141324,EQ
32,CH,362228,SHE,051,CH,@:@EPO,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE000000FR9,P,CH000038,CN:SHC,SHN.CAPSTONE INDL.'A' SUSP - SUSP.17/03/16,6803043,362228,EQ
33,CH,141157,SHE,051,CH,@:@CC8M1,CONPK,070,Containers & Package,TOTMKCA,INDGSCH,GNINDCH,CHZASHR,CONPKCH,CNE000000644,P,CH000039,CN:CMA,CHINA INTL.MAR.CTRS. (GP.) 'A',6191340,141157,EQ
34,CH,141316,SHE,051,CH,@:@EKG,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE0000000D6,P,CH000040,CN:BHR,BAOAN HONGJI RLST.GP.'A',6765789,141316,EQ
35,CH,141317,SHE,051,CH,@:@EFQ,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE000000H53,P,CH000042,CN:CHG,SHENZHEN CENTRALCON INV. HLDG.'A',6780522,141317,EQ
36,CH,141318,SHE,051,CH,@:@EIA,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE000000H95,P,CH000043,CN:ARE,AVIC REAL ESTATE HOLDING 'A',6781202,141318,EQ
37,CH,141319,SHE,051,CH,@:@ZTXM1,CLTHG,069,Clothing & Accessory,TOTMKCA,PERHHCH,PERSGCH,CHZASHR,CLTHGCH,CNE000000H61,P,CH000045,CN:SZT,SHENZHEN TEX.(HDG.) 'A',6806428,141319,EQ
38,CH,141320,SHE,051,CH,@:@EMX,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE000000123,P,CH000046,CN:NYU,OCEANWIDE HOLDINGS 'A',6781365,141320,EQ
39,CH,141322,SHE,051,CH,@:@03F,FMFSH,035,Farm Fish Plantation,TOTMKCA,FDBEVCH,NA,CHZASHR,NA,CNE000000HD5,P,CH000048,CN:KON,SHENZHEN KONDARL (GROUP) 'A',6488536,141322,EQ
40,CH,143811,SHE,051,CH,@:@EUH,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHZASHR,ELEQPCH,CNE0000000F1,P,CH000049,CN:SWE,SHENZHEN DESAY BATTERY TECH.'A',6948773,143811,EQ
41,CH,143812,SHE,051,CH,@:@ETK,ELETR,057,Electronic Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHZASHR,NA,CNE000000HT1,P,CH000050,CN:STM,TIANMA MICROELS.'A',6823740,143812,EQ
42,CH,865557,SHE,051,CH,@:@EHAM1,BMATS,030,Building Mat.& Fix.,TOTMKCA,CNSTMCH,CNSTMCH,CHZASHR,BMATSCH,CNE000000JY7,P,CH000055,CN:HJL,CHINA FANGDA GROUP 'A',6781376,865557,EQ
43,CH,887095,SHE,051,CH,@:@5SZM1,BDRET,087,Broadline Retailers,TOTMKCA,RTAILCH,NA,CHZASHR,NA,CNE000000297,P,CH000056,CN:SIN,SHN.WONGTEE INTL.ENTER. 'A',6802318,887095,EQ
44,CH,887640,SHE,051,CH,NA,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHZASHR,ELEQPCH,CNE000000NR3,P,CH000058,CN:SZG,SHENZHEN SEG 'A',6780555,887640,EQ
45,CH,887801,SHE,051,CH,@:@L59,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHZASHR,CHMSPCH,CNE000000NY9,P,CH000059,CN:LHT,NORTH HUAJIN CHMID.'A',6796143,887801,EQ
46,CH,887724,SHE,051,CH,@:@842,NOFMS,054,Nonferrous Metals,TOTMKCA,BRESRCH,INDMTCH,CHZASHR,NOFMSCH,CNE000000FS7,P,CH000060,CN:NON,SHN.ZHONGJIN LINGNAN NONFEMET 'A',6188052,887724,EQ
47,CH,887698,SHE,051,CH,@:@09O,FMFSH,035,Farm Fish Plantation,TOTMKCA,FDBEVCH,NA,CHZASHR,NA,CNE0000008V1,P,CH000061,CN:AGR,SHN.AGRI.PRODUCTS 'A',6798105,887698,EQ
48,CH,887800,SHE,051,CH,@:@06A,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHZASHR,ELEQPCH,CNE0000008R9,P,CH000062,CN:SHQ,SHN.HUAQIANG IND. 'A',6813387,887800,EQ
49,CH,877251,SHE,051,CH,@:@ZX6,TELEQ,126,Telecom. Equipment,TOTMKCA,TECNOCH,TECHDCH,CHZASHR,TELEQCH,CNE000000TK5,P,CH000063,CN:SNT,ZTE 'A',6073062,877251,EQ
50,CH,675484,SHE,051,CH,@:@07D,HVYCN,039,Heavy Construction,TOTMKCA,CNSTMCH,CNSTMCH,CHZASHR,HVYCNCH,CNE000000VZ9,P,CH000065,CN:SXI,NORINCO INTL.COOPN.'A',6112125,675484,EQ
51,CH,890701,SHE,051,CH,@:@GW6,COMPH,034,Computer Hardware,TOTMKCA,TECNOCH,TECHDCH,CHZASHR,COMPHCH,CNE000000RL7,P,CH000066,CN:CGW,CHINA GREAT WALL CMP. SHN.'A',6112095,890701,EQ
52,CH,890607,SHE,051,CH,@:@143,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHZASHR,ELEQPCH,CNE000000QV8,P,CH000068,CN:SSZ,SHENZHEN HUAKONG SEG 'A',6000156,890607,EQ
53,CH,896192,SHE,051,CH,@:@310,RECSV,055,Recreational Services,TOTMKCA,TRLESCH,TRLESCH,CHZASHR,NA,CNE000000SS0,P,CH000069,CN:OVE,SHENZHEN OS.CHS.TOWN 'A',6036991,896192,EQ
54,CH,280491,SHE,051,CH,@:@991,TELEQ,126,Telecom. Equipment,TOTMKCA,TECNOCH,TECHDCH,CHZASHR,TELEQCH,CNE000001238,P,CH000070,CN:SIF,SHENZHEN SDG INFORMATION 'A',6237288,280491,EQ
55,CH,675901,SHE,051,CH,@:@452,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHZASHR,PHRMCCH,CNE000000X95,P,CH000078,CN:SNB,SHENZHEN NEPS.BIOENG. 'A',6139663,675901,EQ
56,CH,890968,SHE,051,CH,@:@656,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHZASHR,TRNSVCH,CNE000000SF7,P,CH000088,CN:SZY,SHN.YAN TIAN POR.HDG.'A',6015569,890968,EQ
57,CH,675357,SHE,051,CH,@:@01M,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHZASHR,TRNSVCH,CNE000000VK1,P,CH000089,CN:SZA,SHENZHEN AIRPORT 'A',6108102,675357,EQ
58,CH,691653,SHE,051,CH,@:@846,HVYCN,039,Heavy Construction,TOTMKCA,CNSTMCH,CNSTMCH,CHZASHR,HVYCNCH,CNE000000F89,P,CH000090,CN:STN,SHENZHEN TAGEN GROUP 'A',6164353,691653,EQ
59,CH,297106,SHE,051,CH,@:@855,SPRET,090,Specialty Retailers,TOTMKCA,RTAILCH,NA,CHZASHR,NA,CNE000001410,P,CH000096,CN:SGZ,SHENZHEN GUANGJU ENERGY 'A',6276924,297106,EQ
60,CH,299046,SHE,051,CH,@:@816,DELSV,040,Delivery Services,TOTMKCA,INDGSCH,INDTRCH,CHZASHR,NA,CNE0000013Q1,P,CH000099,CN:COH,CITIC OFFSHORE HELI. 'A',6269496,299046,EQ
61,CH,28413K,SHE,051,CH,@:@YA8,CNELE,075,Consumer Electronics,TOTMKCA,PERHHCH,NA,CHZASHR,NA,CNE000001GL8,P,CH000100,CN:TCL,TCL 'A',6731133,28413K,EQ
62,CH,299484,SHE,051,CH,@:@975,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE0000014D7,P,CH000150,CN:MPE,YIHUA HEALTHCARE 'A',6281768,299484,EQ
63,CH,264150,SHE,051,CH,@:@599,INSUP,032,Industrial Suppliers,TOTMKCA,INDGSCH,NA,CHZASHR,NA,CNE0000014J4,P,CH000151,CN:CNC,CHINA NAT.COMPLETE PLT. IMT.& EXPT.'A',6283139,264150,EQ
64,CH,264792,SHE,051,CH,@:@585,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHZASHR,PHRMCCH,CNE0000014X5,P,CH000153,CN:AXP,ANHUI FENGYUAN PHARM.'A' SUSP - SUSP.14/10/15,6288446,264792,EQ
65,CH,265419,SHE,051,CH,@:@672,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHZASHR,CHMSPCH,CNE0000014Z0,P,CH000155,CN:SCH,SICHUAN CHEMICAL 'A',6288480,265419,EQ
66,CH,264151,SHE,051,CH,@:@873,BRDEN,115,Broadcast & Entertain,TOTMKCA,NA,NA,CHZASHR,NA,CNE0000014L0,P,CH000156,CN:HUU,WASU MEDIA HOLDINGS 'A',6283872,264151,EQ
67,CH,297044,SHE,051,CH,@:@568,COMMV,117,"Comm. Vehicles,Trucks",TOTMKCA,INDGSCH,INDENCH,CHZASHR,COMMVCH,CNE000001527,P,CH000157,CN:CSZ,ZOOMLION HDY.SCTC.'A',6289977,297044,EQ
68,CH,297105,SHE,051,CH,@:@663,CLTHG,069,Clothing & Accessory,TOTMKCA,PERHHCH,PERSGCH,CHZASHR,CLTHGCH,CNE0000013X7,P,CH000158,CN:SCZ,SHIJIAZHUANG CHANGSHAN 'A',6276968,297105,EQ
69,CH,297031,SHE,051,CH,@:@653,COALM,049,Coal,TOTMKCA,BRESRCH,MNINGCH,CHZASHR,COALMCH,CNE0000014R7,P,CH000159,CN:XII,XINJIANG INTL. IND. 'A' SUSP - SUSP.23/02/16,6286989,297031,EQ
70,CH,9294V0,SHE,051,CH,@:@0001,SPFIN,113,Specialty Finance,TOTMKCA,FINSVCH,FNSVSCH,CHSASHR,NA,NA,P,CH000166,CN:SVN,SHENWAN HONGYUAN GROUP 'A',BVHFB90,9294V0,EQ
71,CH,280877,SHE,051,CH,@:@557,CLTHG,069,Clothing & Accessory,TOTMKCA,PERHHCH,PERSGCH,CHZASHR,CLTHGCH,CNE0000012K6,P,CH000301,CN:WUS,JIG.WUJIANG CHIN.ETN. SILK MARKET 'A',6246336,280877,EQ
72,CH,87146Z,SHE,051,CH,@:@MIDE,DURHP,059,Dur. Household Prod.,TOTMKCA,PERHHCH,NA,CHZASHR,NA,CNE100001QQ5,P,CH000333,CN:MGA,MIDEA GROUP 'A',BDVHRJ8,87146Z,EQ
73,CH,50480V,SHE,051,CH,@:@6Q,IMACH,043,Industrial Machinery,TOTMKCA,INDGSCH,INDENCH,CHZASHR,IMACHCH,CNE1000000D4,P,CH000338,CN:WCA,WEICHAI POWER 'A',B1WPGD4,50480V,EQ
74,CH,890196,SHE,051,CH,@:@00P,IMACH,043,Industrial Machinery,TOTMKCA,INDGSCH,INDENCH,CHZASHR,IMACHCH,CNE0000007F6,P,CH000400,CN:XJE,XJ ELECTRIC 'A',6007685,890196,EQ
75,CH,865798,SHE,051,CH,@:@501,BMATS,030,Building Mat.& Fix.,TOTMKCA,CNSTMCH,CNSTMCH,CHZASHR,BMATSCH,CNE000000GX5,P,CH000401,CN:TAN,TANGSHAN JIDONG CMT.'A' SUSP - SUSP.06/04/16,6889946,865798,EQ
76,CH,865558,SHE,051,CH,@:@08B,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE000000KT5,P,CH000402,CN:CHQ,FINANCIAL STR.HLDG.'A',6177685,865558,EQ
77,CH,865559,SHE,051,CH,@:@09Z,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHZASHR,PHRMCCH,CNE000000F14,P,CH000403,CN:YIC,ZHENXING BIOPHM.& CHM. 'A',6987884,865559,EQ
78,CH,865560,SHE,051,CH,@:@277,IMACH,043,Industrial Machinery,TOTMKCA,INDGSCH,INDENCH,CHZASHR,IMACHCH,CNE000000KM0,P,CH000404,CN:HYC,HUAYI COMPR. 'A',6429922,865560,EQ
79,CH,887181,SHE,051,CH,@:@253,INSUP,032,Industrial Suppliers,TOTMKCA,INDGSCH,NA,CHZASHR,NA,CNE000000G88,P,CH000407,CN:SSH,SHANDONG SHENGLI 'A',6798718,887181,EQ
80,CH,865563,SHE,051,CH,@:@07R,DURHP,059,Dur. Household Prod.,TOTMKCA,PERHHCH,NA,CHZASHR,NA,CNE000000L08,P,CH000408,CN:HEB,JINGU YUAN HOLDING 'A',6445490,865563,EQ
81,CH,865763,SHE,051,CH,@:@304,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHZASHR,CHMSPCH,CNE000000L40,P,CH000409,CN:GUN,SHANGDONG GEO-MRL.'A' SUSP - SUSP.14/03/21,6381033,865763,EQ
82,CH,865772,SHE,051,CH,@:@04U,IMACH,043,Industrial Machinery,TOTMKCA,INDGSCH,INDENCH,CHZASHR,IMACHCH,CNE0000008W9,P,CH000410,CN:SNM,SHENYANG MACH.TOOL 'A',6765831,865772,EQ
83,CH,887182,SHE,051,CH,@:@181,DGRET,120,Drug Retailers,TOTMKCA,RTAILCH,FDRGRCH,CHZASHR,NA,CNE0000008D9,P,CH000411,CN:KAD,ZHEJIANG INTL.GP.'A',6420754,887182,EQ
84,CH,887242,SHE,051,CH,@:@5SJM1,ELEQP,037,Electrical Equipment,TOTMKCA,INDGSCH,ELTNCCH,CHZASHR,ELEQPCH,CNE000000578,P,CH000413,CN:SJZ,DONGXU OT.TECHNOLOGY 'A',6795065,887242,EQ
85,CH,887215,SHE,051,CH,@:@154,DIVIN,101,Divers. Industrials,TOTMKCA,INDGSCH,GNINDCH,CHZASHR,NA,CNE0000009B1,P,CH000415,CN:HUI,BOHAI LEASING 'A' SUSP - 01/02/16,6981068,887215,EQ
86,CH,865773,SHE,051,CH,@:@06X,BDRET,087,Broadline Retailers,TOTMKCA,RTAILCH,NA,CHZASHR,NA,CNE0000009P1,P,CH000416,CN:QID,MINSHENG HOLDINGS 'A',6714855,865773,EQ
87,CH,887110,SHE,051,CH,@:@07O,BDRET,087,Broadline Retailers,TOTMKCA,RTAILCH,NA,CHZASHR,NA,CNE000000BV0,P,CH000417,CN:HEF,HEFEI DEPT.STORE GP.'A',6449072,887110,EQ
88,CH,890152,SHE,051,CH,@:@JPNM1,DURHP,059,Dur. Household Prod.,TOTMKCA,PERHHCH,NA,CHZASHR,NA,CNE000000D32,P,CH000418,CN:WXL,WUXI LITTLE SWAN 'A',6982511,890152,EQ
89,CH,887117,SHE,051,CH,@:@726,BDRET,087,Broadline Retailers,TOTMKCA,RTAILCH,NA,CHZASHR,NA,CNE000000LL0,P,CH000419,CN:CSH,CHANGSHA TONGCHENG HDG. 'A',6187811,887117,EQ
90,CH,887091,SHE,051,CH,@:@191,CHEMS,092,Commodity Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHZASHR,CHEMSCH,CNE0000008F4,P,CH000420,CN:JLN,JILIN CHM.FIBRE 'A',6454043,887091,EQ
91,CH,887088,SHE,051,CH,@:@02N,TRAVL,094,Travel & Tourism,TOTMKCA,TRLESCH,TRLESCH,CHZASHR,TRAVLCH,CNE0000003L3,P,CH000421,CN:NJZ,NANJING ZHONGBEI 'A',6628514,887088,EQ
92,CH,887118,SHE,051,CH,@:@03U,CHMSP,033,Specialty Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHZASHR,CHMSPCH,CNE0000009C9,P,CH000422,CN:HUB,HUBEI YIHUA CHM.IND.'A',6446954,887118,EQ
93,CH,887090,SHE,051,CH,@:@341,PHRMC,095,Pharmaceuticals,TOTMKCA,HLTHCCH,PHARMCH,CHZASHR,PHRMCCH,CNE0000006Y9,P,CH000423,CN:SDJ,SHAN DONG DONG-E E-JIAO 'A',6276719,887090,EQ
94,CH,887158,SHE,051,CH,@:@05N,COMMV,117,"Comm. Vehicles,Trucks",TOTMKCA,INDGSCH,INDENCH,CHZASHR,COMMVCH,CNE000000FH0,P,CH000425,CN:XUZ,XCMG CON.MACHINERY 'A',6984249,887158,EQ
95,CH,887159,SHE,051,CH,@:@234,CNVEL,169,Con. Electricity,TOTMKCA,UTILSCH,ELECTCH,CHZASHR,CNVELCH,CNE000000D24,P,CH000426,CN:CDB,INNER MOI.XINGYE MNG.'A',6204260,887159,EQ
96,CH,887092,SHE,051,CH,@:@504,HOTEL,080,Hotels,TOTMKCA,TRLESCH,TRLESCH,CHZASHR,HOTELCH,CNE000000LM8,P,CH000428,CN:HNH,HUATIAN HOTEL GP.'A',6670021,887092,EQ
97,CH,675087,SHE,051,CH,NA,TRNSV,064,Transport Services,TOTMKCA,INDGSCH,INDTRCH,CHZASHR,TRNSVCH,CNE0000006Z6,P,CH000429,CN:GPD,GUANGDONG PRVL.EXPR.DEV. 'A',6398798,675087,EQ
98,CH,887160,SHE,051,CH,@:@482,TRAVL,094,Travel & Tourism,TOTMKCA,TRLESCH,TRLESCH,CHZASHR,TRAVLCH,CNE000000F22,P,CH000430,CN:ZHA,ZHANG JIA JIE TSM.GP.'A',6991238,887160,EQ
99,CH,288512,SHE,051,CH,@:@5XCM1,PAPER,082,Paper,TOTMKCA,BRESRCH,NA,CHZASHR,NA,CNE0000015H5,P,CH000488,CN:SDC,SHANDONG CHENMING PAPER HDG.'A',6294960,288512,EQ
100,CH,890622,SHE,051,CH,@:@409,CHEMS,092,Commodity Chemicals,TOTMKCA,CHMCLCH,CHMCLCH,CHZASHR,CHEMSCH,CNE0000009D7,P,CH000498,CN:DCH,DANDONG CHM.FIBRE 'A' SUSP - SUSP.05/04/16,6011697,890622,EQ
101,CH,141244,SHE,051,CH,@:@EWG,BDRET,087,Broadline Retailers,TOTMKCA,RTAILCH,NA,CHZASHR,NA,CNE000000024,P,CH000501,CN:WDS,WUHAN DEPT.STORE GP. 'A',6984120,141244,EQ
102,CH,141245,SHE,051,CH,@:@EIZ,RLDEV,112,"Real Estate Hold, Dev",TOTMKCA,RLESTCH,RLISVCH,CHZASHR,RLDEVCH,CNE000000214,P,CH000502,CN:HNE,LVJING HOLDING 'A',6803117,141245,EQ
103,CH,141246,SHE,051,CH,@:@503,INTNT,151,Internet,TOTMKCA,TECNOCH,SFTCSCH,CHZASHR,NA,CNE000000255,P,CH000503,CN:HSR,SEARAINBOW HOLDING 'A',6803106,141246,EQ
104,CH,141247,SHE,051,CH,@:@EIQ,PUBLS,084,Publishing,TOTMKCA,NA,NA,CHZASHR,NA,CNE000000263,P,CH000504,CN:HHM,NANHUA BIO-MEDICINE 'A',6425191,141247,EQ
